product,category,date,sales_amount
Laptop,Electronics,2025-01-01,390
Smartphone,Electronics,2025-01-01,191
Laptop,Electronics,2025-01-01,140
Jeans,Clothing,2025-01-01,235
Jacket,Clothing,2025-01-01,99
Jacket,Clothing,2025-01-01,112
Snacks,Groceries,2025-01-01,157
Headphones,Electronics,2025-01-08,463
Jeans,Clothing,2025-01-08,154
T-Shirt,Clothing,2025-01-08,185
Coffee,Groceries,2025-01-08,96
Rice,Groceries,2025-01-08,66
Jacket,Clothing,2025-01-15,88
Jacket,Clothing,2025-01-15,132
Snacks,Groceries,2025-01-15,58
Smartphone,Electronics,2025-01-15,309
Headphones,Electronics,2025-01-15,595
Headphones,Electronics,2025-01-15,806
Snacks,Groceries,2025-01-22,179
Jeans,Clothing,2025-01-22,77
Jeans,Clothing,2025-01-22,33
Rice,Groceries,2025-01-22,15
Headphones,Electronics,2025-01-22,507
Laptop,Electronics,2025-01-22,286
Laptop,Electronics,2025-01-22,435
Smartphone,Electronics,2025-01-29,325
Laptop,Electronics,2025-01-29,681
Headphones,Electronics,2025-01-29,509
Jeans,Clothing,2025-01-29,28
Jeans,Clothing,2025-01-29,215
Coffee,Groceries,2025-01-29,51
Coffee,Groceries,2025-01-29,21
Coffee,Groceries,2025-02-05,131
Rice,Groceries,2025-02-05,48
Rice,Groceries,2025-02-05,31
T-Shirt,Clothing,2025-02-05,106
Laptop,Electronics,2025-02-05,821
Headphones,Electronics,2025-02-05,846
Smartphone,Electronics,2025-02-05,575
Smartphone,Electronics,2025-02-12,932
T-Shirt,Clothing,2025-02-12,95
Rice,Groceries,2025-02-12,143
Snacks,Groceries,2025-02-19,79
Jacket,Clothing,2025-02-19,29
Snacks,Groceries,2025-02-19,48
Laptop,Electronics,2025-02-19,511
Smartphone,Electronics,2025-02-19,618
Smartphone,Electronics,2025-02-19,538
Laptop,Electronics,2025-02-26,167
Smartphone,Electronics,2025-02-26,526
T-Shirt,Clothing,2025-02-26,123
Jeans,Clothing,2025-02-26,59
Snacks,Groceries,2025-02-26,108
Jacket,Clothing,2025-03-05,39
Rice,Groceries,2025-03-05,70
Coffee,Groceries,2025-03-05,131
Jacket,Clothing,2025-03-05,161
Headphones,Electronics,2025-03-05,762
Headphones,Electronics,2025-03-05,622
Laptop,Electronics,2025-03-05,124
Jeans,Clothing,2025-03-05,127
Rice,Groceries,2025-03-12,69
Laptop,Electronics,2025-03-12,683
Laptop,Electronics,2025-03-12,215
Headphones,Electronics,2025-03-12,604
Jacket,Clothing,2025-03-12,167
Jacket,Clothing,2025-03-12,53
T-Shirt,Clothing,2025-03-12,184
Snacks,Groceries,2025-03-12,93
Coffee,Groceries,2025-03-12,177
Jeans,Clothing,2025-03-19,116
Snacks,Groceries,2025-03-19,136
Laptop,Electronics,2025-03-19,765
Jeans,Clothing,2025-03-19,99
Smartphone,Electronics,2025-03-26,752
T-Shirt,Clothing,2025-03-26,27
Coffee,Groceries,2025-03-26,162
Rice,Groceries,2025-03-26,69
Rice,Groceries,2025-03-26,58
Smartphone,Electronics,2025-04-02,946
T-Shirt,Clothing,2025-04-02,86
Coffee,Groceries,2025-04-02,59
Headphones,Electronics,2025-04-02,791
Smartphone,Electronics,2025-04-09,505
Smartphone,Electronics,2025-04-09,232
T-Shirt,Clothing,2025-04-09,208
Snacks,Groceries,2025-04-09,120
Coffee,Groceries,2025-04-16,60
Coffee,Groceries,2025-04-16,167
T-Shirt,Clothing,2025-04-16,171
Headphones,Electronics,2025-04-16,339
Headphones,Electronics,2025-04-16,855
Snacks,Groceries,2025-04-23,151
Jeans,Clothing,2025-04-23,222
T-Shirt,Clothing,2025-04-23,140
Rice,Groceries,2025-04-23,131
Smartphone,Electronics,2025-04-23,303
Smartphone,Electronics,2025-04-23,558
T-Shirt,Clothing,2025-04-23,62
Headphones,Electronics,2025-04-30,583
