category,order_amount
Fast Food,234
Fast Food,145
Fast Food,401
Fast Food,370
Fast Food,348
Fast Food,262
Fast Food,224
Fast Food,209
Fast Food,552
Fast Food,152
Fast Food,150
Fast Food,215
Fast Food,343
Fast Food,358
Fast Food,637
Fast Food,147
Fast Food,323
Fast Food,549
Fast Food,345
Fast Food,579
Fast Food,404
Fast Food,126
Fast Food,283
Fast Food,552
Fast Food,468
Fast Food,404
Fast Food,279
Fast Food,340
Fast Food,464
Fast Food,224
Fast Food,214
Fast Food,509
Fast Food,219
Fast Food,487
Fast Food,472
Desserts,409
Desserts,235
Desserts,122
Desserts,473
Desserts,335
Desserts,374
Desserts,163
Desserts,293
Desserts,140
Desserts,382
Desserts,250
Desserts,421
Desserts,416
Desserts,285
Desserts,395
Desserts,198
Desserts,460
Desserts,135
Desserts,123
Desserts,438
Desserts,216
Desserts,495
Desserts,248
Desserts,140
Desserts,219
Desserts,151
Desserts,294
Desserts,242
Desserts,332
Desserts,425
Desserts,286
Desserts,183
Desserts,289
Desserts,281
Desserts,207
