product,rating,price
Product_1,4.24,1404.14
Product_2,3.63,2134.91
Product_3,4.44,2147.04
Product_4,4.52,1041.49
Product_5,3.22,2344.14
Product_6,3.51,2406.04
Product_7,4.16,1693.4
Product_8,3.96,1654.0
Product_9,4.09,1586.62
Product_10,3.72,1720.54
Product_11,4.5,1199.41
Product_12,4.45,1234.28
Product_13,4.13,1652.4
Product_14,4.61,1034.66
Product_15,4.31,1568.78
Product_16,3.71,2337.21
Product_17,4.27,1506.97
Product_18,3.67,2105.41
Product_19,4.5,1271.84
Product_20,4.08,1633.67
Product_21,4.02,1537.26
Product_22,3.79,1981.35
Product_23,4.65,1093.58
Product_24,4.03,2845.3
Product_25,3.91,2505.26
Product_26,3.94,1871.04
Product_27,4.34,1240.09
Product_28,4.26,1257.76
Product_29,4.29,1917.86
Product_30,4.29,1514.08
Product_31,5.0,951.2
Product_32,3.92,1504.4
Product_33,3.87,2154.64
Product_34,3.73,2081.64
Product_35,4.38,1156.55
Product_36,4.61,1049.7
Product_37,4.05,1735.01
Product_38,3.72,1967.69
Product_39,3.73,1877.56
Product_40,4.39,1323.69
Product_41,4.43,1251.46
Product_42,4.34,1435.51
Product_43,3.8,2529.45
Product_44,4.2,1192.05
Product_45,4.15,1508.61
Product_46,4.2,1573.91
Product_47,4.49,1346.09
Product_48,4.2,1436.24
Product_49,4.41,1063.82
Product_50,4.13,1681.93
Product_51,4.23,2332.8
Product_52,4.38,1103.19
Product_53,3.44,2507.47
Product_54,3.96,1665.32
Product_55,3.89,1788.16
Product_56,3.81,1672.24
Product_57,3.98,1646.04
Product_58,4.77,1543.75
Product_59,3.71,2149.84
Product_60,4.54,2061.74
Product_61,3.34,2758.8
Product_62,3.95,1882.31
Product_63,4.17,2397.41
Product_64,4.36,1509.23
Product_65,4.42,1612.99
Product_66,4.46,1221.39
Product_67,3.94,1772.5
Product_68,3.89,1653.64
Product_69,4.49,1630.09
Product_70,4.01,1475.04
Product_71,3.53,2397.49
Product_72,3.59,2025.39
Product_73,3.69,2446.15
Product_74,4.32,1665.9
Product_75,4.16,2469.72
Product_76,4.41,1579.07
Product_77,3.91,1528.25
Product_78,4.17,1532.04
Product_79,4.38,1144.97
Product_80,3.96,1623.33
