post_id,likes,comments
IG0001,2560,55
IG0002,1738,32
IG0003,1718,32
IG0004,1619,30
IG0005,482,12
IG0006,1855,40
IG0007,397,15
IG0008,604,21
IG0009,2915,51
IG0010,2059,41
IG0011,3346,56
IG0012,894,49
IG0013,462,9
IG0014,916,32
IG0015,1184,37
IG0016,1164,22
IG0017,2566,74
IG0018,836,27
IG0019,1428,36
IG0020,522,15
IG0021,1537,29
IG0022,1099,23
IG0023,625,19
IG0024,919,33
IG0025,955,23
IG0026,896,17
IG0027,4140,75
IG0028,1019,29
IG0029,913,25
IG0030,227,16
IG0031,561,15
IG0032,900,17
IG0033,656,14
IG0034,3091,49
IG0035,969,23
IG0036,2882,50
IG0037,1149,23
IG0038,1128,18
IG0039,1026,18
IG0040,1100,33
IG0041,3980,64
IG0042,193,12
IG0043,244,6
IG0044,730,31
IG0045,1109,23
IG0046,1840,37
IG0047,1564,61
IG0048,822,34
IG0049,2355,41
IG0050,2375,40
IG0051,1259,25
IG0052,2257,44
IG0053,1345,27
IG0054,720,16
IG0055,1851,48
IG0056,1191,25
IG0057,1098,53
IG0058,3310,58
IG0059,174,28
IG0060,379,15
IG0061,450,21
IG0062,835,17
IG0063,906,18
IG0064,354,16
IG0065,524,23
IG0066,575,16
IG0067,6926,107
IG0068,4236,66
IG0069,805,15
IG0070,835,15
IG0071,463,15
IG0072,262,20
IG0073,1005,22
IG0074,519,9
IG0075,1029,22
IG0076,330,12
IG0077,619,41
IG0078,1226,21
IG0079,1443,27
IG0080,1500,47
IG0081,407,16
IG0082,2082,42
IG0083,602,17
IG0084,1763,36
IG0085,1088,29
IG0086,391,10
IG0087,865,27
IG0088,1442,24
IG0089,1737,35
IG0090,987,23
IG0091,3459,57
IG0092,2335,42
IG0093,905,18
IG0094,1925,32
IG0095,4677,76
IG0096,4771,75
IG0097,437,16
IG0098,547,12
IG0099,3340,62
IG0100,496,11
IG0101,407,11
IG0102,762,16
IG0103,1503,41
IG0104,1016,25
IG0105,673,16
IG0106,661,20
IG0107,643,11
IG0108,567,16
IG0109,6071,121
IG0110,1371,29
IG0111,2133,40
IG0112,760,22
IG0113,954,28
IG0114,642,11
IG0115,150,5
IG0116,390,14
IG0117,282,9
IG0118,203,22
IG0119,447,13
IG0120,2962,46
IG0121,1061,19
IG0122,2887,44
IG0123,1493,29
IG0124,1972,36
IG0125,558,14
IG0126,1625,40
IG0127,1894,46
IG0128,712,17
IG0129,1668,27
IG0130,1677,37
IG0131,726,22
IG0132,472,16
IG0133,451,21
IG0134,1170,21
IG0135,1401,51
IG0136,605,13
IG0137,1119,29
IG0138,1682,28
IG0139,1743,30
IG0140,3512,74
IG0141,2858,49
IG0142,518,21
IG0143,3877,67
IG0144,736,18
IG0145,2401,55
IG0146,1154,24
IG0147,805,14
IG0148,283,8
IG0149,964,25
IG0150,341,15
IG0151,2265,36
IG0152,3421,56
IG0153,603,14
IG0154,1375,26
IG0155,636,12
IG0156,684,15
IG0157,1960,34
IG0158,1065,29
IG0159,4043,74
IG0160,764,18
IG0161,2320,40
IG0162,1180,26
IG0163,1992,34
IG0164,784,15
IG0165,1057,20
IG0166,1006,20
IG0167,586,12
IG0168,1802,35
IG0169,1786,39
IG0170,1712,28
IG0171,3473,60
IG0172,3252,55
IG0173,828,22
IG0174,1451,29
IG0175,687,13
IG0176,1116,20
IG0177,699,18
IG0178,3696,71
IG0179,1441,23
IG0180,931,23
IG0181,2684,57
IG0182,215,10
IG0183,242,14
IG0184,1992,34
IG0185,1148,24
IG0186,1323,22
