order_id,delivery_time,order_value
SWG0001,48.6,444.42
SWG0002,44.0,390.13
SWG0003,27.8,405.65
SWG0004,20.0,353.96
SWG0005,15.0,400.86
SWG0006,29.6,485.95
SWG0007,59.2,582.53
SWG0008,39.3,343.46
SWG0009,29.4,357.11
SWG0010,39.7,477.11
SWG0011,19.4,297.55
SWG0012,32.0,352.18
SWG0013,36.0,454.72
SWG0014,34.1,373.62
SWG0015,42.9,423.83
SWG0016,38.4,477.16
SWG0017,41.7,435.6
SWG0018,28.1,398.78
SWG0019,44.0,512.44
SWG0020,51.3,436.48
SWG0021,25.3,313.78
SWG0022,26.1,492.26
SWG0023,48.4,413.92
SWG0024,33.1,221.11
SWG0025,49.0,355.7
SWG0026,30.6,396.64
SWG0027,49.6,529.64
SWG0028,36.3,423.62
SWG0029,37.6,552.35
SWG0030,50.6,293.98
SWG0031,31.4,435.31
SWG0032,25.6,499.65
SWG0033,30.5,292.1
SWG0034,39.5,422.48
SWG0035,19.3,247.64
SWG0036,41.4,389.13
SWG0037,29.6,357.92
SWG0038,46.5,633.82
SWG0039,15.0,450.36
SWG0040,27.1,339.71
SWG0041,18.1,478.4
SWG0042,26.7,370.37
SWG0043,37.5,600.17
SWG0044,33.2,404.06
SWG0045,32.5,419.06
SWG0046,33.4,446.75
SWG0047,37.0,725.33
SWG0048,24.9,431.02
SWG0049,42.1,410.83
SWG0050,41.6,558.6
SWG0051,38.9,419.39
SWG0052,40.6,419.88
SWG0053,38.0,527.52
SWG0054,55.4,570.25
SWG0055,34.1,443.98
SWG0056,31.9,404.76
SWG0057,27.5,402.55
SWG0058,24.7,390.99
SWG0059,22.6,163.56
SWG0060,26.1,422.78
SWG0061,34.3,331.67
SWG0062,38.3,318.59
SWG0063,35.5,423.32
SWG0064,27.3,378.97
SWG0065,44.0,425.6
SWG0066,42.4,551.55
SWG0067,33.4,293.03
SWG0068,28.5,342.67
SWG0069,40.5,410.75
SWG0070,36.9,433.97
SWG0071,20.5,348.73
SWG0072,34.3,329.53
SWG0073,37.6,508.53
SWG0074,26.0,367.69
SWG0075,36.9,268.01
SWG0076,20.5,146.89
SWG0077,48.4,517.42
SWG0078,47.5,492.47
SWG0079,32.5,398.02
SWG0080,38.6,447.92
SWG0081,15.0,305.3
SWG0082,23.4,429.34
SWG0083,32.1,304.44
SWG0084,24.3,244.47
SWG0085,42.1,376.61
SWG0086,55.0,590.81
SWG0087,23.2,454.68
SWG0088,26.6,327.56
SWG0089,37.4,216.33
SWG0090,51.1,384.42
SWG0091,22.8,264.46
SWG0092,37.5,392.24
SWG0093,53.2,515.74
SWG0094,18.5,312.85
SWG0095,22.2,307.27
SWG0096,30.8,489.79
SWG0097,29.8,327.72
SWG0098,43.1,404.27
SWG0099,37.4,485.01
SWG0100,17.3,162.54
SWG0101,40.2,496.15
SWG0102,29.2,393.8
SWG0103,47.7,500.94
SWG0104,28.7,524.01
SWG0105,28.6,324.44
SWG0106,40.4,648.31
SWG0107,42.6,458.12
SWG0108,39.5,341.44
SWG0109,18.1,313.3
SWG0110,40.4,365.8
SWG0111,24.7,284.94
SWG0112,37.4,477.2
SWG0113,20.8,375.34
SWG0114,39.5,400.25
SWG0115,26.9,457.4
SWG0116,22.2,439.39
SWG0117,42.1,604.23
SWG0118,37.4,489.56
SWG0119,28.9,504.73
SWG0120,49.5,357.31
SWG0121,30.6,365.54
SWG0122,35.3,349.22
SWG0123,37.7,454.55
SWG0124,28.8,330.19
SWG0125,39.7,443.03
SWG0126,29.7,557.05
SWG0127,30.9,380.91
SWG0128,48.6,557.63
SWG0129,24.6,331.25
SWG0130,15.0,291.81
SWG0131,51.1,538.31
SWG0132,60.5,643.8
SWG0133,30.9,501.51
SWG0134,15.6,437.69
SWG0135,31.9,431.13
SWG0136,32.1,458.02
