restaurant,rating,number_of_reviews
Restaurant_1,3.18,203
Restaurant_2,3.53,41
Restaurant_3,3.88,424
Restaurant_4,2.52,928
Restaurant_5,3.93,214
Restaurant_6,4.85,431
Restaurant_7,3.55,80
Restaurant_8,3.94,30
Restaurant_9,4.36,114
Restaurant_10,3.71,51
Restaurant_11,3.48,33
Restaurant_12,2.55,339
Restaurant_13,4.15,222
Restaurant_14,3.74,195
Restaurant_15,3.24,80
Restaurant_16,3.87,127
Restaurant_17,3.48,286
Restaurant_18,3.51,119
Restaurant_19,4.13,278
Restaurant_20,3.06,80
Restaurant_21,4.38,145
Restaurant_22,3.03,26
Restaurant_23,3.44,20
Restaurant_24,4.86,203
Restaurant_25,4.42,212
Restaurant_26,3.85,46
Restaurant_27,3.28,105
Restaurant_28,3.51,128
Restaurant_29,3.84,21
Restaurant_30,3.82,64
Restaurant_31,3.75,201
Restaurant_32,3.78,201
Restaurant_33,3.68,48
Restaurant_34,3.01,107
Restaurant_35,3.52,308
Restaurant_36,4.3,380
Restaurant_37,3.05,87
Restaurant_38,3.7,89
Restaurant_39,3.35,63
Restaurant_40,3.86,226
Restaurant_41,3.59,152
Restaurant_42,4.61,395
Restaurant_43,4.08,188
Restaurant_44,3.08,201
Restaurant_45,4.17,191
Restaurant_46,3.37,230
Restaurant_47,3.48,264
Restaurant_48,3.97,76
Restaurant_49,3.53,24
Restaurant_50,4.29,753
Restaurant_51,3.37,143
Restaurant_52,3.46,25
Restaurant_53,3.44,62
Restaurant_54,3.49,242
Restaurant_55,4.4,155
Restaurant_56,4.15,109
Restaurant_57,4.74,848
Restaurant_58,5.0,108
Restaurant_59,3.23,51
Restaurant_60,3.84,177
Restaurant_61,3.15,143
Restaurant_62,3.37,177
Restaurant_63,3.45,269
Restaurant_64,3.22,124
Restaurant_65,3.22,162
Restaurant_66,3.72,109
Restaurant_67,3.13,105
Restaurant_68,4.26,204
Restaurant_69,3.3,132
Restaurant_70,5.0,556
Restaurant_71,3.55,206
Restaurant_72,3.84,152
Restaurant_73,3.09,47
Restaurant_74,4.74,255
Restaurant_75,4.42,196
Restaurant_76,3.96,187
Restaurant_77,3.06,695
Restaurant_78,3.92,95
Restaurant_79,3.18,149
Restaurant_80,4.6,583
Restaurant_81,4.25,200
Restaurant_82,3.85,1209
Restaurant_83,2.46,49
Restaurant_84,3.26,142
Restaurant_85,4.18,86
Restaurant_86,4.47,151
Restaurant_87,4.41,251
Restaurant_88,2.92,190
Restaurant_89,3.97,209
Restaurant_90,4.36,605
Restaurant_91,2.89,80
Restaurant_92,3.8,106
